#OTU ID	Control_1	Control_2	Control_3	NEFO_1	NEFO_2	NEFO_3	NEFO_RS_1	NEFO_RS_2	NEFO_RS_3	NEO_1	NEO_2	NEO_3
OTU19	0.0	0.0	11.0	28.0	0.0	0.0	26.0	61.0	384.0	0.0	0.0	2.0
OTU190	6.0	14.0	1.0	3.0	3.0	6.0	15.0	2.0	9.0	7.0	0.0	1.0
OTU191	1.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	15.0	0.0	0.0	1.0
OTU192	0.0	0.0	0.0	2.0	0.0	0.0	19.0	2.0	0.0	2.0	0.0	0.0
OTU193	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU194	1.0	0.0	0.0	0.0	1.0	3.0	2.0	2.0	0.0	0.0	0.0	5.0
OTU195	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
OTU196	0.0	2.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0
OTU197	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
OTU198	2.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0
OTU199	0.0	2.0	1.0	1.0	2.0	1.0	5.0	0.0	3.0	0.0	0.0	3.0
OTU2	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU20	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
OTU200	3.0	6.0	7.0	2.0	6.0	0.0	3.0	5.0	3.0	1.0	1.0	3.0
OTU201	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU202	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU203	0.0	0.0	3.0	4.0	1.0	11.0	54.0	20.0	0.0	6.0	0.0	202.0
OTU204	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0
OTU205	13.0	2.0	13.0	22.0	14.0	4.0	7.0	29.0	7.0	9.0	0.0	0.0
OTU206	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
OTU208	3.0	0.0	14.0	0.0	8.0	0.0	7.0	0.0	2.0	0.0	0.0	3.0
OTU209	3.0	3.0	2.0	18.0	10.0	0.0	10.0	0.0	9.0	1.0	9.0	0.0
OTU21	3.0	1.0	6.0	4.0	5.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0
OTU210	2.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0
OTU211	5354.0	1635.0	10235.0	16103.0	19689.0	21073.0	10698.0	18609.0	6792.0	13567.0	26809.0	4528.0
OTU212	1.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0
OTU213	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
OTU214	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
OTU215	1.0	16.0	1.0	1.0	1.0	10.0	0.0	1.0	0.0	0.0	1.0	17.0
OTU216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
OTU217	22.0	6.0	8.0	4.0	11.0	6.0	1.0	8.0	30.0	15.0	16.0	9.0
OTU218	1.0	2.0	3.0	12.0	1.0	1.0	1.0	1.0	0.0	3.0	0.0	2.0
OTU219	1.0	5.0	0.0	28.0	6.0	21.0	3.0	286.0	0.0	0.0	0.0	55.0
OTU22	0.0	1.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
OTU220	9.0	0.0	2.0	1.0	1.0	2.0	0.0	1.0	6.0	5.0	4.0	4.0
OTU221	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0
OTU222	0.0	0.0	0.0	0.0	0.0	15.0	0.0	822.0	2.0	9.0	1.0	0.0
OTU223	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0
OTU224	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
